,Content ID,Type,Datetime,Content Type,Category,Sentiment,Score,Month,,,,
2759,ef99fd68-74fb-4c72-bc70-742ebca14499,peeking,12-02-2021 09:46,video,soccer,neutral,35,2,,,,
2760,ef99fd68-74fb-4c72-bc70-742ebca14499,intrigued,03-11-2020 00:23,video,soccer,positive,45,11,,,,
2761,ef99fd68-74fb-4c72-bc70-742ebca14499,scared,28-01-2021 13:54,video,soccer,negative,15,1,,,,
2762,ef99fd68-74fb-4c72-bc70-742ebca14499,dislike,02-01-2021 03:49,video,soccer,negative,10,1,,,,
2763,ef99fd68-74fb-4c72-bc70-742ebca14499,intrigued,23-04-2021 03:59,video,soccer,positive,45,4,,,,
2764,ef99fd68-74fb-4c72-bc70-742ebca14499,peeking,04-02-2021 13:07,video,soccer,neutral,35,2,,,,
2766,ef99fd68-74fb-4c72-bc70-742ebca14499,intrigued,11-11-2020 22:03,video,soccer,positive,45,11,,,,
2767,ef99fd68-74fb-4c72-bc70-742ebca14499,like,18-09-2020 00:31,video,soccer,positive,50,9,,,,
2768,ef99fd68-74fb-4c72-bc70-742ebca14499,hate,23-09-2020 20:46,video,soccer,negative,5,9,,,,
2769,ef99fd68-74fb-4c72-bc70-742ebca14499,adore,29-07-2020 02:23,video,soccer,positive,72,7,,,,
2770,ef99fd68-74fb-4c72-bc70-742ebca14499,hate,15-12-2020 07:24,video,soccer,negative,5,12,,,,
2771,ef99fd68-74fb-4c72-bc70-742ebca14499,love,18-04-2021 03:43,video,soccer,positive,65,4,,,,
2772,ef99fd68-74fb-4c72-bc70-742ebca14499,indifferent,31-12-2020 10:02,video,soccer,neutral,20,12,,,,
2773,ef99fd68-74fb-4c72-bc70-742ebca14499,indifferent,02-10-2020 17:36,video,soccer,neutral,20,10,,,,
2774,ef99fd68-74fb-4c72-bc70-742ebca14499,hate,20-04-2021 04:36,video,soccer,negative,5,4,,,,
2776,ef99fd68-74fb-4c72-bc70-742ebca14499,like,21-10-2020 03:47,video,soccer,positive,50,10,,,,
2777,ef99fd68-74fb-4c72-bc70-742ebca14499,intrigued,07-06-2021 06:32,video,soccer,positive,45,6,,,,
2778,ef99fd68-74fb-4c72-bc70-742ebca14499,intrigued,16-01-2021 12:45,video,soccer,positive,45,1,,,,
2779,ef99fd68-74fb-4c72-bc70-742ebca14499,disgust,25-05-2021 23:39,video,soccer,negative,0,5,,,,
2780,ef99fd68-74fb-4c72-bc70-742ebca14499,love,23-10-2020 08:34,video,soccer,positive,65,10,,,,
2781,ef99fd68-74fb-4c72-bc70-742ebca14499,like,06-01-2021 22:27,video,soccer,positive,50,1,,,,
2782,ef99fd68-74fb-4c72-bc70-742ebca14499,dislike,07-05-2021 22:06,video,soccer,negative,10,5,,,,
2783,ef99fd68-74fb-4c72-bc70-742ebca14499,adore,27-12-2020 16:19,video,soccer,positive,72,12,,,,
2784,ef99fd68-74fb-4c72-bc70-742ebca14499,heart,14-12-2020 20:38,video,soccer,positive,60,12,,,,
2786,ef99fd68-74fb-4c72-bc70-742ebca14499,adore,15-11-2020 18:52,video,soccer,positive,72,11,,,,
2787,ef99fd68-74fb-4c72-bc70-742ebca14499,indifferent,31-08-2020 14:10,video,soccer,neutral,20,8,,,,
2788,ef99fd68-74fb-4c72-bc70-742ebca14499,love,20-08-2020 22:53,video,soccer,positive,65,8,,,,
2789,ef99fd68-74fb-4c72-bc70-742ebca14499,hate,02-06-2021 16:20,video,soccer,negative,5,6,,,,
2790,ef99fd68-74fb-4c72-bc70-742ebca14499,cherish,19-07-2020 14:27,video,soccer,positive,70,7,,,,
2791,ef99fd68-74fb-4c72-bc70-742ebca14499,heart,23-08-2020 19:47,video,soccer,positive,60,8,,,,
2792,ef99fd68-74fb-4c72-bc70-742ebca14499,dislike,11-06-2021 02:51,video,soccer,negative,10,6,,,,
2793,ef99fd68-74fb-4c72-bc70-742ebca14499,love,18-07-2020 15:00,video,soccer,positive,65,7,,,,
2794,ef99fd68-74fb-4c72-bc70-742ebca14499,intrigued,04-11-2020 02:03,video,soccer,positive,45,11,,,,
2796,ef99fd68-74fb-4c72-bc70-742ebca14499,cherish,29-05-2021 03:22,video,soccer,positive,70,5,,,,
2798,d147ab3c-4097-4eec-b4dc-480e4ece801b,heart,07-10-2020 13:11,audio,culture,positive,60,10,,,,
2799,d147ab3c-4097-4eec-b4dc-480e4ece801b,dislike,26-07-2020 12:15,audio,culture,negative,10,7,,,,
2800,d147ab3c-4097-4eec-b4dc-480e4ece801b,disgust,25-05-2021 07:18,audio,culture,negative,0,5,,,,
2801,d147ab3c-4097-4eec-b4dc-480e4ece801b,indifferent,25-05-2021 22:40,audio,culture,neutral,20,5,,,,
2803,62681a6c-fe82-4186-ba7d-0805ae5b95ed,super love,29-06-2020 23:51,audio,Veganism,positive,75,6,,,,
2804,62681a6c-fe82-4186-ba7d-0805ae5b95ed,want,06-05-2021 07:29,audio,Veganism,positive,70,5,,,,
2805,62681a6c-fe82-4186-ba7d-0805ae5b95ed,disgust,10-02-2021 16:00,audio,Veganism,negative,0,2,,,,
2806,62681a6c-fe82-4186-ba7d-0805ae5b95ed,super love,27-07-2020 14:54,audio,Veganism,positive,75,7,,,,
2807,62681a6c-fe82-4186-ba7d-0805ae5b95ed,adore,12-02-2021 22:19,audio,Veganism,positive,72,2,,,,
2808,62681a6c-fe82-4186-ba7d-0805ae5b95ed,cherish,25-09-2020 22:29,audio,Veganism,positive,70,9,,,,
2809,62681a6c-fe82-4186-ba7d-0805ae5b95ed,want,25-08-2020 13:51,audio,Veganism,positive,70,8,,,,
2810,62681a6c-fe82-4186-ba7d-0805ae5b95ed,want,29-10-2020 09:24,audio,Veganism,positive,70,10,,,,
2811,62681a6c-fe82-4186-ba7d-0805ae5b95ed,love,01-11-2020 08:01,audio,Veganism,positive,65,11,,,,
2813,62681a6c-fe82-4186-ba7d-0805ae5b95ed,worried,02-03-2021 00:56,audio,Veganism,negative,12,3,,,,
2815,ec8e2d25-5730-4753-a0a2-d1ed41e23623,worried,18-05-2021 19:46,video,healthy eating,negative,12,5,,,,
2816,ec8e2d25-5730-4753-a0a2-d1ed41e23623,scared,08-05-2021 04:27,video,healthy eating,negative,15,5,,,,
2817,ec8e2d25-5730-4753-a0a2-d1ed41e23623,like,22-08-2020 04:43,video,healthy eating,positive,50,8,,,,
2818,ec8e2d25-5730-4753-a0a2-d1ed41e23623,dislike,24-05-2021 23:39,video,healthy eating,negative,10,5,,,,
2819,ec8e2d25-5730-4753-a0a2-d1ed41e23623,dislike,05-12-2020 19:25,video,healthy eating,negative,10,12,,,,
2820,ec8e2d25-5730-4753-a0a2-d1ed41e23623,worried,27-05-2021 19:25,video,healthy eating,negative,12,5,,,,
2821,ec8e2d25-5730-4753-a0a2-d1ed41e23623,love,27-09-2020 04:30,video,healthy eating,positive,65,9,,,,
2822,ec8e2d25-5730-4753-a0a2-d1ed41e23623,intrigued,19-09-2020 04:50,video,healthy eating,positive,45,9,,,,
2823,ec8e2d25-5730-4753-a0a2-d1ed41e23623,scared,09-03-2021 08:01,video,healthy eating,negative,15,3,,,,
2825,ec8e2d25-5730-4753-a0a2-d1ed41e23623,super love,11-02-2021 14:47,video,healthy eating,positive,75,2,,,,
2826,ec8e2d25-5730-4753-a0a2-d1ed41e23623,scared,04-03-2021 12:32,video,healthy eating,negative,15,3,,,,
2827,ec8e2d25-5730-4753-a0a2-d1ed41e23623,like,15-11-2020 17:07,video,healthy eating,positive,50,11,,,,
2828,ec8e2d25-5730-4753-a0a2-d1ed41e23623,intrigued,07-09-2020 16:24,video,healthy eating,positive,45,9,,,,
2829,ec8e2d25-5730-4753-a0a2-d1ed41e23623,scared,23-07-2020 05:18,video,healthy eating,negative,15,7,,,,
2830,ec8e2d25-5730-4753-a0a2-d1ed41e23623,interested,17-11-2020 00:10,video,healthy eating,positive,30,11,,,,
2831,ec8e2d25-5730-4753-a0a2-d1ed41e23623,heart,27-04-2021 14:28,video,healthy eating,positive,60,4,,,,
2832,ec8e2d25-5730-4753-a0a2-d1ed41e23623,like,03-07-2020 15:21,video,healthy eating,positive,50,7,,,,
2833,ec8e2d25-5730-4753-a0a2-d1ed41e23623,cherish,17-01-2021 08:39,video,healthy eating,positive,70,1,,,,
2835,ec8e2d25-5730-4753-a0a2-d1ed41e23623,interested,12-02-2021 09:31,video,healthy eating,positive,30,2,,,,
2836,ec8e2d25-5730-4753-a0a2-d1ed41e23623,hate,23-01-2021 18:49,video,healthy eating,negative,5,1,,,,
2837,ec8e2d25-5730-4753-a0a2-d1ed41e23623,dislike,25-08-2020 10:08,video,healthy eating,negative,10,8,,,,
2838,ec8e2d25-5730-4753-a0a2-d1ed41e23623,dislike,08-11-2020 06:51,video,healthy eating,negative,10,11,,,,
2839,ec8e2d25-5730-4753-a0a2-d1ed41e23623,want,31-01-2021 19:33,video,healthy eating,positive,70,1,,,,
2840,ec8e2d25-5730-4753-a0a2-d1ed41e23623,want,14-02-2021 17:01,video,healthy eating,positive,70,2,,,,
2841,ec8e2d25-5730-4753-a0a2-d1ed41e23623,scared,24-05-2021 23:12,video,healthy eating,negative,15,5,,,,
2842,ec8e2d25-5730-4753-a0a2-d1ed41e23623,cherish,27-02-2021 07:41,video,healthy eating,positive,70,2,,,,
2843,ec8e2d25-5730-4753-a0a2-d1ed41e23623,worried,14-07-2020 15:35,video,healthy eating,negative,12,7,,,,
2846,67f2a150-6086-4cbd-8d21-46250ccef5a2,peeking,03-03-2021 01:28,GIF,cooking,neutral,35,3,,,,
2847,67f2a150-6086-4cbd-8d21-46250ccef5a2,love,07-05-2021 02:46,GIF,cooking,positive,65,5,,,,
2848,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,23-10-2020 11:36,GIF,cooking,negative,0,10,,,,
2849,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,03-04-2021 22:31,GIF,cooking,negative,0,4,,,,
2850,67f2a150-6086-4cbd-8d21-46250ccef5a2,want,20-11-2020 21:26,GIF,cooking,positive,70,11,,,,
2851,67f2a150-6086-4cbd-8d21-46250ccef5a2,scared,11-08-2020 07:06,GIF,cooking,negative,15,8,,,,
2852,67f2a150-6086-4cbd-8d21-46250ccef5a2,hate,15-05-2021 11:35,GIF,cooking,negative,5,5,,,,
2853,67f2a150-6086-4cbd-8d21-46250ccef5a2,dislike,16-02-2021 07:12,GIF,cooking,negative,10,2,,,,
2854,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,23-12-2020 13:18,GIF,cooking,negative,0,12,,,,
2856,67f2a150-6086-4cbd-8d21-46250ccef5a2,want,11-11-2020 01:36,GIF,cooking,positive,70,11,,,,
2857,67f2a150-6086-4cbd-8d21-46250ccef5a2,peeking,14-11-2020 03:44,GIF,cooking,neutral,35,11,,,,
2858,67f2a150-6086-4cbd-8d21-46250ccef5a2,interested,10-07-2020 04:12,GIF,cooking,positive,30,7,,,,
2859,67f2a150-6086-4cbd-8d21-46250ccef5a2,like,03-04-2021 10:47,GIF,cooking,positive,50,4,,,,
2860,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,16-04-2021 10:24,GIF,cooking,negative,0,4,,,,
2861,67f2a150-6086-4cbd-8d21-46250ccef5a2,heart,21-08-2020 11:57,GIF,cooking,positive,60,8,,,,
2862,67f2a150-6086-4cbd-8d21-46250ccef5a2,heart,18-08-2020 00:46,GIF,cooking,positive,60,8,,,,
2863,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,08-07-2020 21:07,GIF,cooking,negative,0,7,,,,
2864,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,13-11-2020 15:40,GIF,cooking,negative,0,11,,,,
2866,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,14-09-2020 10:32,GIF,cooking,negative,0,9,,,,
2867,67f2a150-6086-4cbd-8d21-46250ccef5a2,scared,11-07-2020 18:40,GIF,cooking,negative,15,7,,,,
2868,67f2a150-6086-4cbd-8d21-46250ccef5a2,intrigued,30-09-2020 08:30,GIF,cooking,positive,45,9,,,,
2869,67f2a150-6086-4cbd-8d21-46250ccef5a2,hate,05-08-2020 18:28,GIF,cooking,negative,5,8,,,,
2870,67f2a150-6086-4cbd-8d21-46250ccef5a2,hate,01-04-2021 02:03,GIF,cooking,negative,5,4,,,,
2871,67f2a150-6086-4cbd-8d21-46250ccef5a2,worried,10-02-2021 16:55,GIF,cooking,negative,12,2,,,,
2872,67f2a150-6086-4cbd-8d21-46250ccef5a2,dislike,12-11-2020 20:14,GIF,cooking,negative,10,11,,,,
2873,67f2a150-6086-4cbd-8d21-46250ccef5a2,intrigued,07-08-2020 05:48,GIF,cooking,positive,45,8,,,,
2874,67f2a150-6086-4cbd-8d21-46250ccef5a2,interested,01-11-2020 14:04,GIF,cooking,positive,30,11,,,,
2876,67f2a150-6086-4cbd-8d21-46250ccef5a2,like,05-03-2021 14:44,GIF,cooking,positive,50,3,,,,
2877,67f2a150-6086-4cbd-8d21-46250ccef5a2,intrigued,20-02-2021 21:26,GIF,cooking,positive,45,2,,,,
2878,67f2a150-6086-4cbd-8d21-46250ccef5a2,love,23-06-2020 01:30,GIF,cooking,positive,65,6,,,,
2879,67f2a150-6086-4cbd-8d21-46250ccef5a2,scared,16-07-2020 15:21,GIF,cooking,negative,15,7,,,,
2880,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,14-10-2020 23:46,GIF,cooking,negative,0,10,,,,
2881,67f2a150-6086-4cbd-8d21-46250ccef5a2,super love,05-12-2020 23:27,GIF,cooking,positive,75,12,,,,
2882,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,01-11-2020 08:01,GIF,cooking,negative,0,11,,,,
2883,67f2a150-6086-4cbd-8d21-46250ccef5a2,love,12-05-2021 04:29,GIF,cooking,positive,65,5,,,,
2884,67f2a150-6086-4cbd-8d21-46250ccef5a2,love,05-08-2020 17:07,GIF,cooking,positive,65,8,,,,
2886,67f2a150-6086-4cbd-8d21-46250ccef5a2,scared,25-06-2020 15:55,GIF,cooking,negative,15,6,,,,
2887,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,20-05-2021 00:01,GIF,cooking,negative,0,5,,,,
2888,67f2a150-6086-4cbd-8d21-46250ccef5a2,indifferent,11-01-2021 11:28,GIF,cooking,neutral,20,1,,,,
2889,67f2a150-6086-4cbd-8d21-46250ccef5a2,interested,12-01-2021 20:05,GIF,cooking,positive,30,1,,,,
2890,67f2a150-6086-4cbd-8d21-46250ccef5a2,want,22-01-2021 17:44,GIF,cooking,positive,70,1,,,,
2891,67f2a150-6086-4cbd-8d21-46250ccef5a2,peeking,11-12-2020 08:51,GIF,cooking,neutral,35,12,,,,
2892,67f2a150-6086-4cbd-8d21-46250ccef5a2,super love,25-06-2020 17:32,GIF,cooking,positive,75,6,,,,
2894,65545cfb-59bb-4dc1-a38b-82f268210da2,peeking,27-03-2021 03:20,audio,technology,neutral,35,3,,,,
2895,65545cfb-59bb-4dc1-a38b-82f268210da2,cherish,25-12-2020 17:44,audio,technology,positive,70,12,,,,
2896,65545cfb-59bb-4dc1-a38b-82f268210da2,scared,19-06-2020 11:23,audio,technology,negative,15,6,,,,
2897,65545cfb-59bb-4dc1-a38b-82f268210da2,indifferent,06-06-2021 19:52,audio,technology,neutral,20,6,,,,
2898,65545cfb-59bb-4dc1-a38b-82f268210da2,hate,04-01-2021 11:54,audio,technology,negative,5,1,,,,
2899,65545cfb-59bb-4dc1-a38b-82f268210da2,worried,13-08-2020 17:25,audio,technology,negative,12,8,,,,
2900,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,06-07-2020 14:07,audio,technology,negative,0,7,,,,
2901,65545cfb-59bb-4dc1-a38b-82f268210da2,want,14-08-2020 11:46,audio,technology,positive,70,8,,,,
2902,65545cfb-59bb-4dc1-a38b-82f268210da2,worried,19-10-2020 09:38,audio,technology,negative,12,10,,,,
2904,65545cfb-59bb-4dc1-a38b-82f268210da2,heart,22-11-2020 17:40,audio,technology,positive,60,11,,,,
2905,65545cfb-59bb-4dc1-a38b-82f268210da2,super love,21-05-2021 02:46,audio,technology,positive,75,5,,,,
2906,65545cfb-59bb-4dc1-a38b-82f268210da2,worried,21-09-2020 01:04,audio,technology,negative,12,9,,,,
2907,65545cfb-59bb-4dc1-a38b-82f268210da2,want,24-05-2021 10:53,audio,technology,positive,70,5,,,,
2908,65545cfb-59bb-4dc1-a38b-82f268210da2,like,04-09-2020 10:35,audio,technology,positive,50,9,,,,
2909,65545cfb-59bb-4dc1-a38b-82f268210da2,cherish,02-01-2021 14:49,audio,technology,positive,70,1,,,,
2910,65545cfb-59bb-4dc1-a38b-82f268210da2,want,28-02-2021 14:54,audio,technology,positive,70,2,,,,
2911,65545cfb-59bb-4dc1-a38b-82f268210da2,adore,12-08-2020 07:36,audio,technology,positive,72,8,,,,
2912,65545cfb-59bb-4dc1-a38b-82f268210da2,interested,06-07-2020 11:35,audio,technology,positive,30,7,,,,
2914,65545cfb-59bb-4dc1-a38b-82f268210da2,peeking,02-12-2020 05:54,audio,technology,neutral,35,12,,,,
2915,65545cfb-59bb-4dc1-a38b-82f268210da2,dislike,24-04-2021 04:14,audio,technology,negative,10,4,,,,
2916,65545cfb-59bb-4dc1-a38b-82f268210da2,love,13-11-2020 20:36,audio,technology,positive,65,11,,,,
2917,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,06-09-2020 13:50,audio,technology,negative,0,9,,,,
2918,65545cfb-59bb-4dc1-a38b-82f268210da2,love,19-11-2020 04:55,audio,technology,positive,65,11,,,,
2919,65545cfb-59bb-4dc1-a38b-82f268210da2,hate,23-12-2020 10:22,audio,technology,negative,5,12,,,,
2920,65545cfb-59bb-4dc1-a38b-82f268210da2,adore,26-07-2020 11:45,audio,technology,positive,72,7,,,,
2921,65545cfb-59bb-4dc1-a38b-82f268210da2,dislike,17-10-2020 21:17,audio,technology,negative,10,10,,,,
2922,65545cfb-59bb-4dc1-a38b-82f268210da2,indifferent,24-07-2020 06:30,audio,technology,neutral,20,7,,,,
2924,65545cfb-59bb-4dc1-a38b-82f268210da2,love,03-02-2021 15:06,audio,technology,positive,65,2,,,,
2925,65545cfb-59bb-4dc1-a38b-82f268210da2,peeking,11-02-2021 08:20,audio,technology,neutral,35,2,,,,
2926,65545cfb-59bb-4dc1-a38b-82f268210da2,worried,30-05-2021 10:22,audio,technology,negative,12,5,,,,
2927,65545cfb-59bb-4dc1-a38b-82f268210da2,peeking,17-05-2021 21:37,audio,technology,neutral,35,5,,,,
2928,65545cfb-59bb-4dc1-a38b-82f268210da2,adore,09-12-2020 15:42,audio,technology,positive,72,12,,,,
2929,65545cfb-59bb-4dc1-a38b-82f268210da2,hate,16-07-2020 05:06,audio,technology,negative,5,7,,,,
2930,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,15-10-2020 04:56,audio,technology,negative,0,10,,,,
2931,65545cfb-59bb-4dc1-a38b-82f268210da2,peeking,18-07-2020 07:08,audio,technology,neutral,35,7,,,,
2932,65545cfb-59bb-4dc1-a38b-82f268210da2,interested,31-05-2021 07:03,audio,technology,positive,30,5,,,,
2934,65545cfb-59bb-4dc1-a38b-82f268210da2,cherish,02-04-2021 13:48,audio,technology,positive,70,4,,,,
2936,433607b3-eeb4-48b8-9263-9805c1b89d55,indifferent,22-09-2020 14:47,video,education,neutral,20,9,,,,
2937,433607b3-eeb4-48b8-9263-9805c1b89d55,like,16-07-2020 02:24,video,education,positive,50,7,,,,
2938,433607b3-eeb4-48b8-9263-9805c1b89d55,intrigued,26-07-2020 08:44,video,education,positive,45,7,,,,
2939,433607b3-eeb4-48b8-9263-9805c1b89d55,love,04-10-2020 08:56,video,education,positive,65,10,,,,
2940,433607b3-eeb4-48b8-9263-9805c1b89d55,cherish,28-02-2021 20:38,video,education,positive,70,2,,,,
2941,433607b3-eeb4-48b8-9263-9805c1b89d55,heart,30-09-2020 01:50,video,education,positive,60,9,,,,
2942,433607b3-eeb4-48b8-9263-9805c1b89d55,interested,11-06-2021 05:05,video,education,positive,30,6,,,,
2943,433607b3-eeb4-48b8-9263-9805c1b89d55,adore,01-06-2021 03:13,video,education,positive,72,6,,,,
2944,433607b3-eeb4-48b8-9263-9805c1b89d55,want,14-10-2020 07:29,video,education,positive,70,10,,,,
2946,433607b3-eeb4-48b8-9263-9805c1b89d55,heart,13-10-2020 02:49,video,education,positive,60,10,,,,
2947,433607b3-eeb4-48b8-9263-9805c1b89d55,adore,17-11-2020 20:03,video,education,positive,72,11,,,,
2948,433607b3-eeb4-48b8-9263-9805c1b89d55,heart,28-02-2021 13:40,video,education,positive,60,2,,,,
2949,433607b3-eeb4-48b8-9263-9805c1b89d55,heart,12-05-2021 03:23,video,education,positive,60,5,,,,
2950,433607b3-eeb4-48b8-9263-9805c1b89d55,worried,30-11-2020 21:19,video,education,negative,12,11,,,,
2951,433607b3-eeb4-48b8-9263-9805c1b89d55,dislike,27-02-2021 21:17,video,education,negative,10,2,,,,
2952,433607b3-eeb4-48b8-9263-9805c1b89d55,adore,30-03-2021 13:42,video,education,positive,72,3,,,,
2953,433607b3-eeb4-48b8-9263-9805c1b89d55,heart,13-11-2020 12:23,video,education,positive,60,11,,,,
2954,433607b3-eeb4-48b8-9263-9805c1b89d55,intrigued,14-02-2021 13:20,video,education,positive,45,2,,,,
2956,433607b3-eeb4-48b8-9263-9805c1b89d55,peeking,12-02-2021 22:24,video,education,neutral,35,2,,,,
2957,433607b3-eeb4-48b8-9263-9805c1b89d55,worried,15-04-2021 19:53,video,education,negative,12,4,,,,
2958,433607b3-eeb4-48b8-9263-9805c1b89d55,disgust,20-01-2021 20:27,video,education,negative,0,1,,,,
2959,433607b3-eeb4-48b8-9263-9805c1b89d55,disgust,14-04-2021 03:34,video,education,negative,0,4,,,,
2960,433607b3-eeb4-48b8-9263-9805c1b89d55,indifferent,11-09-2020 06:18,video,education,neutral,20,9,,,,
2961,433607b3-eeb4-48b8-9263-9805c1b89d55,scared,24-08-2020 04:58,video,education,negative,15,8,,,,
2964,1000371f-7758-4c44-a1bc-41fd836b0bcb,disgust,23-01-2021 20:42,audio,studying,negative,0,1,,,,
2965,1000371f-7758-4c44-a1bc-41fd836b0bcb,cherish,02-10-2020 02:23,audio,studying,positive,70,10,,,,
2966,1000371f-7758-4c44-a1bc-41fd836b0bcb,indifferent,08-12-2020 02:39,audio,studying,neutral,20,12,,,,
2967,1000371f-7758-4c44-a1bc-41fd836b0bcb,peeking,31-07-2020 11:20,audio,studying,neutral,35,7,,,,
2968,1000371f-7758-4c44-a1bc-41fd836b0bcb,hate,14-07-2020 04:49,audio,studying,negative,5,7,,,,
2969,1000371f-7758-4c44-a1bc-41fd836b0bcb,heart,21-01-2021 20:41,audio,studying,positive,60,1,,,,
2970,1000371f-7758-4c44-a1bc-41fd836b0bcb,scared,31-12-2020 00:56,audio,studying,negative,15,12,,,,
2971,1000371f-7758-4c44-a1bc-41fd836b0bcb,intrigued,14-07-2020 00:44,audio,studying,positive,45,7,,,,
2972,1000371f-7758-4c44-a1bc-41fd836b0bcb,adore,14-01-2021 07:15,audio,studying,positive,72,1,,,,
2974,1000371f-7758-4c44-a1bc-41fd836b0bcb,cherish,14-08-2020 18:44,audio,studying,positive,70,8,,,,
2975,1000371f-7758-4c44-a1bc-41fd836b0bcb,scared,15-11-2020 21:05,audio,studying,negative,15,11,,,,
2976,1000371f-7758-4c44-a1bc-41fd836b0bcb,dislike,10-01-2021 17:47,audio,studying,negative,10,1,,,,
2977,1000371f-7758-4c44-a1bc-41fd836b0bcb,interested,18-05-2021 19:51,audio,studying,positive,30,5,,,,
2978,1000371f-7758-4c44-a1bc-41fd836b0bcb,love,09-01-2021 04:41,audio,studying,positive,65,1,,,,
2979,1000371f-7758-4c44-a1bc-41fd836b0bcb,heart,12-09-2020 09:54,audio,studying,positive,60,9,,,,
2980,1000371f-7758-4c44-a1bc-41fd836b0bcb,love,10-12-2020 10:47,audio,studying,positive,65,12,,,,
2981,1000371f-7758-4c44-a1bc-41fd836b0bcb,super love,15-06-2021 04:43,audio,studying,positive,75,6,,,,
2982,1000371f-7758-4c44-a1bc-41fd836b0bcb,dislike,26-10-2020 11:17,audio,studying,negative,10,10,,,,
2985,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,adore,03-12-2020 15:40,video,studying,positive,72,12,,,,
2986,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,heart,30-08-2020 04:20,video,studying,positive,60,8,,,,
2987,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,want,17-10-2020 01:12,video,studying,positive,70,10,,,,
2988,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,hate,20-02-2021 03:27,video,studying,negative,5,2,,,,
2989,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,hate,12-04-2021 04:25,video,studying,negative,5,4,,,,
2990,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,indifferent,25-05-2021 14:53,video,studying,neutral,20,5,,,,
2991,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,peeking,29-10-2020 03:17,video,studying,neutral,35,10,,,,
2992,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,love,28-02-2021 09:07,video,studying,positive,65,2,,,,
2993,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,dislike,30-11-2020 14:14,video,studying,negative,10,11,,,,
2995,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,disgust,06-07-2020 15:48,video,studying,negative,0,7,,,,
2996,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,hate,10-10-2020 01:28,video,studying,negative,5,10,,,,
2997,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,interested,19-11-2020 05:34,video,studying,positive,30,11,,,,
2998,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,cherish,04-08-2020 10:53,video,studying,positive,70,8,,,,
2999,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,worried,26-06-2020 03:51,video,studying,negative,12,6,,,,
3000,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,cherish,06-08-2020 08:28,video,studying,positive,70,8,,,,
3001,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,cherish,06-08-2020 21:53,video,studying,positive,70,8,,,,
3002,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,hate,18-07-2020 13:14,video,studying,negative,5,7,,,,
3003,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,cherish,04-12-2020 05:35,video,studying,positive,70,12,,,,
3005,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,hate,20-07-2020 06:35,video,studying,negative,5,7,,,,
3006,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,scared,26-04-2021 12:56,video,studying,negative,15,4,,,,
3007,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,want,28-02-2021 07:47,video,studying,positive,70,2,,,,
3008,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,scared,23-09-2020 11:13,video,studying,negative,15,9,,,,
3009,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,love,17-09-2020 09:56,video,studying,positive,65,9,,,,
3010,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,scared,17-04-2021 23:32,video,studying,negative,15,4,,,,
3011,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,worried,09-08-2020 21:01,video,studying,negative,12,8,,,,
3012,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,indifferent,31-07-2020 22:55,video,studying,neutral,20,7,,,,
3013,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,super love,05-10-2020 12:10,video,studying,positive,75,10,,,,
3016,8e3896e3-2f84-4b47-9365-fb562c9ed730,super love,21-11-2020 02:19,video,public speaking,positive,75,11,,,,
